Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000001,City of London 001,6.7,24.2,1817,8.816705336,7.1,34.6,11.5,19.2,71.4,-1.813009486950949,1.4
E02000002,Barking and Dagenham 001,32.3,56.0,203,19.0521327,27.2,14.7,20.4,62.6,110.1,-1.346894583465078,2.4
E02000003,Barking and Dagenham 002,22.8,48.8,497,19.14285714,17.9,14.1,15.9,28.1,81.8,-1.86795815839451,2.7
E02000004,Barking and Dagenham 003,30.1,42.2,300,17.66917293,18.4,8.1,18.3,31.2,85.9,-1.691722201482364,0.8
E02000005,Barking and Dagenham 004,28.9,52.3,362,19.67334818,19.6,15.1,16.8,34.5,98.2,-1.650570807817104,2.6
E02000007,Barking and Dagenham 006,32.1,57.3,307,20.82459818,27.5,17.8,18.0,33.4,99.6,-1.164483165598033,2.1
E02000008,Barking and Dagenham 007,32.3,54.9,429,17.10945802,24.6,17.0,19.2,47.1,116.5,-1.002613508554923,2.6
E02000009,Barking and Dagenham 008,29.1,51.0,342,17.25431358,27.2,20.1,17.3,37.4,103.5,-1.382882788783789,3.6
E02000010,Barking and Dagenham 009,31.1,61.7,311,19.33662668,26.8,19.6,17.0,45.7,108.8,-1.667014983947767,2.3
E02000011,Barking and Dagenham 010,28.6,48.3,254,18.99313501,22.5,13.3,15.9,21.9,90.5,-1.830646571949165,2.6
E02000012,Barking and Dagenham 011,22.8,45.7,418,24.06456346,13.7,14.2,14.2,26,87.6,-2.239487896086431,5.2
E02000013,Barking and Dagenham 012,31.2,52.6,332,22.8978979,25.0,17.4,17.1,41,89.1,-1.44960836201357,2.6
E02000014,Barking and Dagenham 013,32.8,57.8,368,19.2722372,22.1,17.8,18.0,33.6,108.1,-1.649921982713232,2.6
E02000015,Barking and Dagenham 014,30.5,56.4,274,19.7865353,28.0,21.5,17.2,51.4,135.4,-1.526072355033292,2.3
E02000016,Barking and Dagenham 015,15.0,55.2,295,19.83673469,26.3,46.2,8.7,55.9,81.7,-2.262692117505135,6.8
E02000017,Barking and Dagenham 016,20.0,47.7,350,22.55707763,16.9,25.0,14.3,28.6,85.2,-2.154457478154359,8.5
E02000018,Barking and Dagenham 017,30.1,57.3,298,19.71544715,24.2,20.5,16.5,35.1,95.4,-1.678722290055919,3.4
E02000019,Barking and Dagenham 018,28.8,54.0,298,20.86700955,25.4,18.4,15.9,45.3,89.2,-2.175007978234269,2.6
E02000020,Barking and Dagenham 019,27.1,50.6,349,23.06049822,22.5,21.8,16.8,35.4,95.8,-1.932343916091845,5.3
E02000021,Barking and Dagenham 020,28.1,50.8,312,23.3278956,23.2,18.6,16.7,29.8,87.3,-1.861495126713281,3.5
E02000022,Barking and Dagenham 021,24.9,59.2,264,24.20856611,30.4,38.8,12.8,37.9,95.4,-2.242628188351885,6.2
E02000023,Barking and Dagenham 022,24.9,59.7,220,24.03169014,27.4,27.5,14.6,38.1,117.3,-2.229184500769036,3.8
E02000024,Barnet 001,12.4,29.2,924,14.21838178,7.7,9.7,14.5,50.2,75.9,-1.342137009951518,1.5
E02000025,Barnet 002,15.8,47.1,619,11.67664671,13.5,14.5,15.7,54.4,105.9,-1.560894242252584,1.4
E02000026,Barnet 003,15.6,28.7,474,13.93341554,8.3,7.4,14.7,41.2,76.2,-1.683781199911312,1.7
E02000027,Barnet 004,22.6,47.4,498,18.62318841,19.6,14.8,17.1,69.4,105.9,-1.082707440286849,2.4
E02000028,Barnet 005,13.5,55.4,506,13.95646607,15.9,11.0,12.9,44.6,72.6,-1.559873777968382,2.5
E02000029,Barnet 006,16.7,47.5,558,13.4439834,14.8,14.3,13.9,57.2,96.8,-1.456155146836693,2.0
E02000030,Barnet 007,17.8,45.6,798,17.51509922,9.5,6.7,15.1,50.7,78.8,-1.317720562041525,1.4
E02000031,Barnet 008,14.5,47.1,642,14.81481481,5.8,9.4,15.6,52,75.4,-0.9475575421384578,3.2
E02000032,Barnet 009,16.3,30.6,546,13.73307544,6.0,6.3,14.0,52.8,71.8,-2.041845885435796,2.8
E02000033,Barnet 010,18.5,48.9,504,15.25862069,14.8,13.1,16.1,61.3,89.3,-1.336338486036896,3.2
E02000034,Barnet 011,15.5,42.2,643,13.14636284,13.2,13.1,14.4,39.9,80.3,-1.290278138921864,3.0
E02000035,Barnet 012,14.2,47.3,677,12.93478261,12.1,18.3,15.7,47.8,80.9,-0.8225253189240801,3.8
E02000036,Barnet 013,17.6,42.7,650,19.73333333,12.6,14.9,14.4,45.1,92.5,-1.514595552846598,3.4
E02000037,Barnet 014,17.2,44.6,679,26.85325265,7.8,11.9,14.2,60.9,71.2,-1.725785875279106,2.7
E02000038,Barnet 015,15.4,46.1,817,15.54054054,12.5,16.1,14.7,73.1,86.7,-1.108419693100457,3.9
E02000039,Barnet 016,11.3,36.4,638,18.23085221,9.0,11.1,12.6,26.5,74.7,-1.398686534650424,2.3
E02000040,Barnet 017,17.5,49.6,503,22.63759086,12.8,14.2,14.8,49.6,71.9,-1.2367737436157,3.7
E02000041,Barnet 018,18.2,43.0,545,25.15611062,12.9,17.1,14.8,68.4,94.1,-1.853357777755926,4.9
E02000042,Barnet 019,14.9,43.2,807,13.36593317,11.6,20.7,15.4,48.4,88.0,-0.9485321818583063,5.6
E02000043,Barnet 020,10.4,32.4,696,14.59510358,3.9,8.6,11.2,20.4,55.8,-1.601790749640879,4.6
E02000044,Barnet 021,21.0,47.5,475,18.12191104,17.1,20.9,15.0,57.7,90.8,-1.486399874338737,4.5
E02000045,Barnet 022,16.7,48.7,677,13.23430115,15.8,20.3,14.1,73,84.8,-1.46945320318791,3.7
E02000046,Barnet 023,11.1,43.2,659,11.8556701,8.9,22.4,12.1,43.5,68.8,-1.612385768555202,4.9
E02000047,Barnet 024,24.2,48.9,515,20.72127139,19.8,29.0,15.9,51.3,106.9,-1.205395228724889,7.4
E02000048,Barnet 025,12.4,47.8,854,18.51568477,10.0,12.4,12.3,35,66.1,-1.494803537626168,3.6
E02000049,Barnet 026,21.4,47.4,254,26.6146203,30.0,34.3,15.2,62.5,109.4,-1.454341275733813,5.7
E02000050,Barnet 027,16.4,47.4,760,17.16475096,15.5,20.6,15.1,29.4,85.8,-1.497724456869944,4.6
E02000051,Barnet 028,12.9,40.8,717,22.04301075,7.1,16.0,14.2,25.5,61.2,-1.925210101652192,3.8
E02000052,Barnet 029,11.7,46.8,953,13.83075523,10.7,18.4,12.9,26.2,68.4,-1.424450411687009,2.9
E02000053,Barnet 030,15.5,51.5,501,17.45235707,18.7,38.0,11.4,34.9,77.1,-1.806712053795386,7.4
E02000054,Barnet 031,11.8,47.2,560,18.33333333,13.7,24.6,12.1,46.5,77.9,-1.701866713989712,5.5
E02000055,Barnet 032,14.0,37.9,824,23.22193659,10.1,26.5,13.2,41,77.9,-1.210479557583672,4.9
E02000056,Barnet 033,9.0,41.4,1057,26.13240418,4.1,7.9,11.1,40.5,45.4,-1.682917087200302,1.7
E02000057,Barnet 034,13.7,39.2,510,35.9462486,7.1,19.1,11.7,32.7,80.7,-1.779234929142146,4.6
E02000058,Barnet 035,9.6,44.1,956,25.25083612,6.8,15.8,11.3,61,62.8,-1.855320228514568,2.6
E02000059,Barnet 036,19.9,45.9,571,18.0620155,14.2,31.6,15.4,36.5,93.0,-1.412995205839356,8.0
E02000060,Barnet 037,14.7,54.5,686,47.58394758,5.9,20.6,12.7,57.2,81.9,-1.814745603511345,3.6
E02000061,Barnet 038,9.3,39.8,849,21.15621156,6.6,24.5,11.9,28.6,46.7,-1.697131447768044,3.6
E02000062,Barnet 039,21.1,54.1,335,21.97149644,23.9,30.7,14.3,64.9,88.0,-1.647759227273266,7.5
E02000063,Barnet 040,16.7,53.8,447,22.78911565,18.5,21.3,14.0,28.4,88.5,-1.107242812825876,8.0
E02000064,Barnet 041,16.6,54.7,478,18.15754339,23.6,26.7,15.1,46.4,95.4,-1.668190354804443,5.1
E02000065,Bexley 001,17.6,44.5,312,22.79469165,21.3,19.2,10.3,24.1,104.8,-1.721945113453746,2.4
E02000066,Bexley 002,24.9,47.8,404,20.9902371,26.7,17.9,15.8,35.7,97.8,-1.702072225724234,3.7
E02000067,Bexley 003,23.6,45.1,455,17.1969697,24.5,14.1,15.4,42.3,114.7,-1.94690402307412,2.5
E02000068,Bexley 004,22.5,56.2,383,19.25087108,28.0,17.2,14.1,107.7,119.4,-1.88368274968767,2.2
E02000069,Bexley 005,25.0,45.1,327,19.76744186,20.2,10.0,18.7,51.3,113.4,-1.639790586767968,1.7
E02000070,Bexley 006,23.9,30.9,440,16.08606557,13.5,5.3,17.7,24.5,86.0,-1.84094674595578,1.1
E02000071,Bexley 007,23.6,41.1,424,17.10654936,19.7,6.6,15.7,38,105.3,-1.638068726900018,1.3
E02000072,Bexley 008,28.3,56.1,488,20.36474164,26.6,17.8,16.1,92.2,115.5,-1.616307797295464,1.1
E02000073,Bexley 009,21.9,30.1,575,17.18972896,8.5,3.4,15.1,31.9,81.7,-1.65821170428196,1.1
E02000074,Bexley 010,30.2,50.8,348,16.63516068,28.6,9.9,19.4,126.3,113.0,-1.031429815365884,0.9
E02000075,Bexley 011,22.8,37.9,482,12.06521739,8.2,3.2,16.8,19.7,74.1,-1.64952980820997,0.6
E02000077,Bexley 013,24.9,28.0,413,16.95736434,11.0,5.4,15.8,29.5,83.8,-1.539571808584754,1.2
