Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000001,City of London 001,6.7,24.2,1817,8.816705336,11.5,-1.813009486950949,1.4
E02000002,Barking and Dagenham 001,32.3,56.0,203,19.0521327,20.4,-1.346894583465078,2.4
E02000003,Barking and Dagenham 002,22.8,48.8,497,19.14285714,15.9,-1.86795815839451,2.7
E02000004,Barking and Dagenham 003,30.1,42.2,300,17.66917293,18.3,-1.691722201482364,0.8
E02000005,Barking and Dagenham 004,28.9,52.3,362,19.67334818,16.8,-1.650570807817104,2.6
E02000007,Barking and Dagenham 006,32.1,57.3,307,20.82459818,18.0,-1.164483165598033,2.1
E02000008,Barking and Dagenham 007,32.3,54.9,429,17.10945802,19.2,-1.002613508554923,2.6
E02000009,Barking and Dagenham 008,29.1,51.0,342,17.25431358,17.3,-1.382882788783789,3.6
E02000010,Barking and Dagenham 009,31.1,61.7,311,19.33662668,17.0,-1.667014983947767,2.3
E02000011,Barking and Dagenham 010,28.6,48.3,254,18.99313501,15.9,-1.830646571949165,2.6
E02000012,Barking and Dagenham 011,22.8,45.7,418,24.06456346,14.2,-2.239487896086431,5.2
E02000013,Barking and Dagenham 012,31.2,52.6,332,22.8978979,17.1,-1.44960836201357,2.6
E02000014,Barking and Dagenham 013,32.8,57.8,368,19.2722372,18.0,-1.649921982713232,2.6
E02000015,Barking and Dagenham 014,30.5,56.4,274,19.7865353,17.2,-1.526072355033292,2.3
E02000016,Barking and Dagenham 015,15.0,55.2,295,19.83673469,8.7,-2.262692117505135,6.8
E02000017,Barking and Dagenham 016,20.0,47.7,350,22.55707763,14.3,-2.154457478154359,8.5
E02000018,Barking and Dagenham 017,30.1,57.3,298,19.71544715,16.5,-1.678722290055919,3.4
E02000019,Barking and Dagenham 018,28.8,54.0,298,20.86700955,15.9,-2.175007978234269,2.6
E02000020,Barking and Dagenham 019,27.1,50.6,349,23.06049822,16.8,-1.932343916091845,5.3
E02000021,Barking and Dagenham 020,28.1,50.8,312,23.3278956,16.7,-1.861495126713281,3.5
E02000022,Barking and Dagenham 021,24.9,59.2,264,24.20856611,12.8,-2.242628188351885,6.2
E02000023,Barking and Dagenham 022,24.9,59.7,220,24.03169014,14.6,-2.229184500769036,3.8
E02000024,Barnet 001,12.4,29.2,924,14.21838178,14.5,-1.342137009951518,1.5
E02000025,Barnet 002,15.8,47.1,619,11.67664671,15.7,-1.560894242252584,1.4
