Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000001,City of London 001,24.2,8.816705336,1.4,11.5,6.7,1817
E02000002,Barking and Dagenham 001,56.0,19.0521327,2.4,20.4,32.3,203
E02000003,Barking and Dagenham 002,48.8,19.14285714,2.7,15.9,22.8,497
E02000004,Barking and Dagenham 003,42.2,17.66917293,0.8,18.3,30.1,300
E02000005,Barking and Dagenham 004,52.3,19.67334818,2.6,16.8,28.9,362
E02000007,Barking and Dagenham 006,57.3,20.82459818,2.1,18.0,32.1,307
E02000008,Barking and Dagenham 007,54.9,17.10945802,2.6,19.2,32.3,429
E02000009,Barking and Dagenham 008,51.0,17.25431358,3.6,17.3,29.1,342
E02000010,Barking and Dagenham 009,61.7,19.33662668,2.3,17.0,31.1,311
E02000011,Barking and Dagenham 010,48.3,18.99313501,2.6,15.9,28.6,254
E02000012,Barking and Dagenham 011,45.7,24.06456346,5.2,14.2,22.8,418
E02000013,Barking and Dagenham 012,52.6,22.8978979,2.6,17.1,31.2,332
E02000014,Barking and Dagenham 013,57.8,19.2722372,2.6,18.0,32.8,368
E02000015,Barking and Dagenham 014,56.4,19.7865353,2.3,17.2,30.5,274
E02000016,Barking and Dagenham 015,55.2,19.83673469,6.8,8.7,15.0,295
E02000017,Barking and Dagenham 016,47.7,22.55707763,8.5,14.3,20.0,350
E02000018,Barking and Dagenham 017,57.3,19.71544715,3.4,16.5,30.1,298
E02000019,Barking and Dagenham 018,54.0,20.86700955,2.6,15.9,28.8,298
E02000020,Barking and Dagenham 019,50.6,23.06049822,5.3,16.8,27.1,349
E02000021,Barking and Dagenham 020,50.8,23.3278956,3.5,16.7,28.1,312
E02000022,Barking and Dagenham 021,59.2,24.20856611,6.2,12.8,24.9,264
E02000023,Barking and Dagenham 022,59.7,24.03169014,3.8,14.6,24.9,220
E02000024,Barnet 001,29.2,14.21838178,1.5,14.5,12.4,924
E02000025,Barnet 002,47.1,11.67664671,1.4,15.7,15.8,619
E02000026,Barnet 003,28.7,13.93341554,1.7,14.7,15.6,474
E02000027,Barnet 004,47.4,18.62318841,2.4,17.1,22.6,498
E02000028,Barnet 005,55.4,13.95646607,2.5,12.9,13.5,506
E02000029,Barnet 006,47.5,13.4439834,2.0,13.9,16.7,558
E02000030,Barnet 007,45.6,17.51509922,1.4,15.1,17.8,798
E02000031,Barnet 008,47.1,14.81481481,3.2,15.6,14.5,642
E02000032,Barnet 009,30.6,13.73307544,2.8,14.0,16.3,546
E02000033,Barnet 010,48.9,15.25862069,3.2,16.1,18.5,504
E02000034,Barnet 011,42.2,13.14636284,3.0,14.4,15.5,643
E02000035,Barnet 012,47.3,12.93478261,3.8,15.7,14.2,677
E02000036,Barnet 013,42.7,19.73333333,3.4,14.4,17.6,650
E02000037,Barnet 014,44.6,26.85325265,2.7,14.2,17.2,679
E02000038,Barnet 015,46.1,15.54054054,3.9,14.7,15.4,817
E02000039,Barnet 016,36.4,18.23085221,2.3,12.6,11.3,638
E02000040,Barnet 017,49.6,22.63759086,3.7,14.8,17.5,503
E02000041,Barnet 018,43.0,25.15611062,4.9,14.8,18.2,545
E02000042,Barnet 019,43.2,13.36593317,5.6,15.4,14.9,807
E02000043,Barnet 020,32.4,14.59510358,4.6,11.2,10.4,696
E02000044,Barnet 021,47.5,18.12191104,4.5,15.0,21.0,475
E02000045,Barnet 022,48.7,13.23430115,3.7,14.1,16.7,677
E02000046,Barnet 023,43.2,11.8556701,4.9,12.1,11.1,659
E02000047,Barnet 024,48.9,20.72127139,7.4,15.9,24.2,515
E02000048,Barnet 025,47.8,18.51568477,3.6,12.3,12.4,854
E02000049,Barnet 026,47.4,26.6146203,5.7,15.2,21.4,254
E02000050,Barnet 027,47.4,17.16475096,4.6,15.1,16.4,760
E02000051,Barnet 028,40.8,22.04301075,3.8,14.2,12.9,717
E02000052,Barnet 029,46.8,13.83075523,2.9,12.9,11.7,953
E02000053,Barnet 030,51.5,17.45235707,7.4,11.4,15.5,501
E02000054,Barnet 031,47.2,18.33333333,5.5,12.1,11.8,560
E02000055,Barnet 032,37.9,23.22193659,4.9,13.2,14.0,824
E02000056,Barnet 033,41.4,26.13240418,1.7,11.1,9.0,1057
E02000057,Barnet 034,39.2,35.9462486,4.6,11.7,13.7,510
E02000058,Barnet 035,44.1,25.25083612,2.6,11.3,9.6,956
E02000059,Barnet 036,45.9,18.0620155,8.0,15.4,19.9,571
E02000060,Barnet 037,54.5,47.58394758,3.6,12.7,14.7,686
E02000061,Barnet 038,39.8,21.15621156,3.6,11.9,9.3,849
E02000062,Barnet 039,54.1,21.97149644,7.5,14.3,21.1,335
E02000063,Barnet 040,53.8,22.78911565,8.0,14.0,16.7,447
E02000064,Barnet 041,54.7,18.15754339,5.1,15.1,16.6,478
E02000065,Bexley 001,44.5,22.79469165,2.4,10.3,17.6,312
E02000066,Bexley 002,47.8,20.9902371,3.7,15.8,24.9,404
E02000067,Bexley 003,45.1,17.1969697,2.5,15.4,23.6,455
E02000068,Bexley 004,56.2,19.25087108,2.2,14.1,22.5,383
E02000069,Bexley 005,45.1,19.76744186,1.7,18.7,25.0,327
E02000070,Bexley 006,30.9,16.08606557,1.1,17.7,23.9,440
E02000071,Bexley 007,41.1,17.10654936,1.3,15.7,23.6,424
E02000072,Bexley 008,56.1,20.36474164,1.1,16.1,28.3,488
E02000073,Bexley 009,30.1,17.18972896,1.1,15.1,21.9,575
E02000074,Bexley 010,50.8,16.63516068,0.9,19.4,30.2,348
E02000075,Bexley 011,37.9,12.06521739,0.6,16.8,22.8,482
E02000077,Bexley 013,28.0,16.95736434,1.2,15.8,24.9,413
E02000078,Bexley 014,34.4,13.71134021,0.6,14.0,19.3,442
E02000079,Bexley 015,30.3,14.16490486,1.0,17.7,21.1,506
E02000080,Bexley 016,38.6,14.48911223,1.6,15.7,24.1,517
E02000081,Bexley 017,37.2,15.07592191,0.6,18.6,25.5,416
E02000082,Bexley 018,21.9,12.5,0.9,13.7,21.2,551
E02000083,Bexley 019,41.7,19.08339594,0.8,16.3,24.0,530
E02000084,Bexley 020,29.6,13.46749226,0.7,14.6,19.8,769
E02000085,Bexley 021,27.3,13.41911765,0.7,13.9,23.8,460
E02000086,Bexley 022,25.6,12.47401247,0.4,12.7,19.4,517
E02000087,Bexley 023,35.2,16.95906433,0.4,15.8,18.0,584
E02000088,Bexley 024,27.5,15.28795812,0.4,14.6,20.4,475
E02000089,Bexley 025,26.5,13.26530612,0.2,16.2,20.8,454
E02000090,Bexley 026,39.8,10.99020675,0.5,18.2,21.5,563
E02000091,Bexley 027,39.3,14.13953488,0.7,17.8,21.2,628
E02000092,Bexley 028,52.7,18.34451902,1.0,20.0,28.5,334
E02000093,Brent 001,51.8,18.48484848,9.4,14.8,21.7,586
E02000094,Brent 002,44.0,21.9876869,7.9,13.9,19.9,512
E02000095,Brent 003,47.2,18.21396994,8.6,16.2,21.1,522
E02000096,Brent 004,32.1,14.65201465,5.4,14.8,15.3,567
E02000097,Brent 005,43.2,23.31233123,8.4,14.8,20.9,448
E02000098,Brent 006,38.3,21.20253165,7.0,14.5,17.0,474
E02000099,Brent 007,41.5,20.63628547,8.1,12.7,16.8,485
E02000100,Brent 008,28.9,18.91891892,4.1,12.3,11.5,564
E02000101,Brent 009,46.1,20.78025478,7.7,16.1,20.2,445
E02000102,Brent 010,49.8,31.98458574,11.0,14.9,25.7,322
E02000103,Brent 011,46.8,25.51020408,6.9,15.6,22.3,443
E02000104,Brent 012,40.8,19.31216931,8.3,17.1,18.3,369
E02000105,Brent 013,40.7,18.11352254,8.6,12.9,17.2,412
E02000106,Brent 014,55.3,24.62462462,10.6,13.6,22.7,464
E02000107,Brent 015,46.1,17.46724891,6.4,12.8,15.9,841
E02000108,Brent 016,45.1,20.97560976,9.1,14.5,17.9,306
E02000109,Brent 017,44.4,23.69584439,8.3,14.7,18.9,457
E02000110,Brent 018,45.1,20.50970874,5.6,13.7,15.1,629
E02000111,Brent 019,43.8,17.72575251,11.1,15.4,20.0,412
E02000112,Brent 020,41.2,17.99610895,11.2,14.8,20.3,473
E02000113,Brent 021,51.9,28.13536828,8.1,16.6,26.3,271
E02000114,Brent 022,45.3,19.18976546,6.9,12.1,15.3,710
E02000115,Brent 023,41.5,16.13333333,4.5,14.9,12.9,874
E02000116,Brent 024,45.2,18.61313869,9.4,14.2,21.8,383
E02000117,Brent 025,46.4,24.93043962,9.1,16.3,25.3,360
E02000118,Brent 026,45.3,17.44855967,13.8,14.7,22.7,388
E02000119,Brent 027,47.2,28.71467639,6.8,16.4,25.4,229
E02000120,Brent 028,45.8,14.00233372,3.5,12.7,13.0,1041
E02000121,Brent 029,52.2,14.79400749,14.6,14.3,21.6,384
E02000122,Brent 030,38.1,21.19914347,3.8,14.1,16.0,704
E02000123,Brent 031,49.0,19.94177584,10.0,14.0,22.5,709
E02000124,Brent 032,41.2,15.85040071,3.4,11.2,12.3,1195
E02000125,Brent 033,42.9,15.09881423,5.3,13.1,17.6,879
E02000126,Brent 034,47.9,25.0,5.1,17.2,22.4,359
E02000127,Bromley 001,53.2,15.24590164,1.0,19.5,27.8,463
E02000128,Bromley 002,38.8,11.08786611,0.5,14.3,18.1,586
E02000130,Bromley 004,34.7,16.35094716,1.7,13.7,14.8,573
E02000131,Bromley 005,45.4,13.24324324,1.9,12.8,13.3,649
