Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000001,3043,City of London 001,24.2,8.816705336,70.7988,7.1,34.6,19.2,268.4737922975158,27,0,1.4,11.5,71.4,0,21.4,1250,6.7,3.353276749686935,1817,-1.8130094869509488
E02000002,1020,Barking and Dagenham 001,56.0,19.0521327,56.66382,27.2,14.7,62.6,304.9121167883212,0,0,2.4,20.4,110.1,3.8,35.0,645,32.3,6.885782272456871,203,-1.346894583465078
E02000003,1196,Barking and Dagenham 002,48.8,19.14285714,62.953275,17.9,14.1,28.1,442.1456590038314,2,1,2.7,15.9,81.8,3.5,45.4,765,22.8,5.18289644174225,497,-1.86795815839451
E02000004,556,Barking and Dagenham 003,42.2,17.66917293,63.71457,18.4,8.1,31.2,500.2015333333333,0,0,0.8,18.3,85.9,5.1,19.0,760,30.1,5.82785918814216,300,-1.691722201482364
E02000005,1080,Barking and Dagenham 004,52.3,19.67334818,59.2588,19.6,15.1,34.5,586.393588607595,1,0,2.6,16.8,98.2,3.7,33.7,700,28.9,6.166783461807989,362,-1.6505708078171044
E02000007,1496,Barking and Dagenham 006,57.3,20.82459818,59.795295,27.5,17.8,33.4,430.41206382978726,2,0,2.1,18.0,99.6,3.7,32.8,635,32.1,6.053966789667896,307,-1.1644831655980326
E02000008,1776,Barking and Dagenham 007,54.9,17.10945802,57.94949,24.6,17.0,47.1,569.1303155487806,0,0,2.6,19.2,116.5,3.7,30.4,630,32.3,7.454168107921134,429,-1.0026135085549228
E02000009,1192,Barking and Dagenham 008,51.0,17.25431358,58.816005,27.2,20.1,37.4,653.8556022099448,1,0,3.6,17.3,103.5,3.5,38.8,675,29.1,7.055873925501432,342,-1.382882788783789
E02000010,1281,Barking and Dagenham 009,61.7,19.33662668,59.845575,26.8,19.6,45.7,707.3320933333333,0,0,2.3,17.0,108.8,3.8,30.8,685,31.1,6.6511897852582695,311,-1.6670149839477673
E02000011,668,Barking and Dagenham 010,48.3,18.99313501,62.6281,22.5,13.3,21.9,238.04444852941177,1,0,2.6,15.9,90.5,3.9,33.6,745,28.6,4.51856720341768,254,-1.830646571949165
E02000012,873,Barking and Dagenham 011,45.7,24.06456346,63.133925,13.7,14.2,26,771.0292824858757,0,0,5.2,14.2,87.6,3.4,56.1,855,22.8,4.65634173499342,418,-2.239487896086431
E02000013,1157,Barking and Dagenham 012,52.6,22.8978979,58.53829,25.0,17.4,41,682.057523364486,0,0,2.6,17.1,89.1,3.7,31.1,705,31.2,6.777036684135303,332,-1.44960836201357
E02000014,1419,Barking and Dagenham 013,57.8,19.2722372,61.353475,22.1,17.8,33.6,310.47084615384614,1,0,2.6,18.0,108.1,3.9,29.5,660,32.8,6.674535894409271,368,-1.6499219827132316
E02000015,1534,Barking and Dagenham 014,56.4,19.7865353,57.879625,28.0,21.5,51.4,409.75475,1,0,2.3,17.2,135.4,3.6,36.7,625,30.5,6.318717710955093,274,-1.5260723550332922
E02000016,1877,Barking and Dagenham 015,55.2,19.83673469,59.566405,26.3,46.2,55.9,212.04210566037736,2,1,6.8,8.7,81.7,2.9,70.4,700,15.0,3.650586701434159,295,-2.262692117505135
E02000017,1084,Barking and Dagenham 016,47.7,22.55707763,58.514245,16.9,25.0,28.6,253.86377678571424,1,0,8.5,14.3,85.2,2.4,68.7,805,20.0,5.2196504487482285,350,-2.1544574781543586
E02000018,1421,Barking and Dagenham 017,57.3,19.71544715,57.587445,24.2,20.5,35.1,588.0059612903226,1,0,3.4,16.5,95.4,3.7,35.9,655,30.1,6.2021611886537595,298,-1.6787222900559189
E02000019,1019,Barking and Dagenham 018,54.0,20.86700955,59.032035,25.4,18.4,45.3,378.1184216216216,2,1,2.6,15.9,89.2,3.7,36.1,735,28.8,5.68375030361914,298,-2.175007978234269
E02000020,1494,Barking and Dagenham 019,50.6,23.06049822,56.247635,22.5,21.8,35.4,597.5689931034483,0,0,5.3,16.8,95.8,3.1,53.6,655,27.1,6.814750916540866,349,-1.932343916091845
E02000021,1106,Barking and Dagenham 020,50.8,23.3278956,60.77837,23.2,18.6,29.8,269.4000208333334,0,1,3.5,16.7,87.3,3.5,42.5,690,28.1,5.360348807386509,312,-1.861495126713281
E02000022,1874,Barking and Dagenham 021,59.2,24.20856611,55.561,30.4,38.8,37.9,625.3887626262626,1,0,6.2,12.8,95.4,3.2,61.8,595,24.9,5.239520958083832,264,-2.242628188351885
E02000023,1171,Barking and Dagenham 022,59.7,24.03169014,58.302645,27.4,27.5,38.1,389.34895287958113,0,0,3.8,14.6,117.3,3.3,54.8,635,24.9,5.785251465597038,220,-2.229184500769036
E02000024,824,Barnet 001,29.2,14.21838178,70.64389,7.7,9.7,50.2,437.8404592857143,3,7,1.5,14.5,75.9,3.7,16.6,1090,12.4,3.3303240044136824,924,-1.3421370099515175
E02000025,954,Barnet 002,47.1,11.67664671,63.721445,13.5,14.5,54.4,363.649003968254,0,0,1.4,15.7,105.9,2.9,21.3,945,15.8,4.60335477361584,619,-1.5608942422525838
E02000026,399,Barnet 003,28.7,13.93341554,68.19918,8.3,7.4,41.2,580.7391988950276,0,0,1.7,14.7,76.2,3.6,21.4,1010,15.6,4.1427660930529,474,-1.683781199911312
